t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
4.608000000000000540e+01,4.000000000000000000e+00,5.829924248191747926e-01,2.877404816156617695e+00,-4.095884778774839807e-01,-1.715883993245484185e-01,1.259805803897858789e-01,-6.956260914293546822e-03,1.155600691827035620e-01,-5.016948321276661765e-02,-5.028320905144031093e-03,-9.472398677997623251e-03,-2.623484956527406906e-03,8.902437678132637958e-04,-6.736344906634695873e-01
4.610000000000000142e+01,4.000000000000000000e+00,5.853026170445023713e-01,2.876399533200499459e+00,-4.112863659196500654e-01,-1.717286783053863508e-01,1.259634065659889779e-01,-7.071256185074002720e-03,1.154589788360070590e-01,-5.035875296167598159e-02,-5.080674962313299660e-03,-9.454567510555183726e-03,-2.611844333880688172e-03,8.928544820451555283e-04,-6.741961820593368460e-01
4.612000000000000455e+01,4.000000000000000000e+00,5.876107770077577674e-01,2.875390468419081191e+00,-4.129854440233941548e-01,-1.718712341416108458e-01,1.259454957458693847e-01,-7.183936908868543067e-03,1.153568437668277685e-01,-5.054766557249197600e-02,-5.132791628371174801e-03,-9.436685238606978138e-03,-2.599746195167564403e-03,8.953542132668514510e-04,-6.747670182184383192e-01
4.614000000000000057e+01,4.000000000000000000e+00,5.899168838625797884e-01,2.874377628965196330e+00,-4.146857246718568812e-01,-1.720160199700572212e-01,1.259268525758314161e-01,-7.294245884556991438e-03,1.152536688143495081e-01,-5.073622004532284818e-02,-5.184661774297716352e-03,-9.418754082054217255e-03,-2.587192686257564975e-03,8.977429406960137992e-04,-6.753468128509677593e-01
4.616000000000000369e+01,4.000000000000000000e+00,5.922209168612118102e-01,2.873361022011234667e+00,-4.163872199019802434e-01,-1.721629877848612489e-01,1.259074818837827847e-01,-7.402126045338073765e-03,1.151494589999012691e-01,-5.092441542467762011e-02,-5.236276314934263341e-03,-9.400776261014672994e-03,-2.574186047411726030e-03,9.000206634588272300e-04,-6.759353750765503266e-01
4.618000000000000682e+01,4.000000000000000000e+00,5.945228553581396458e-01,2.872340654748249733e+00,-4.180899412951325500e-01,-1.723120884402668251e-01,1.258873886779292295e-01,-7.507520470834751561e-03,1.150442195260607536e-01,-5.111225079946654648e-02,-5.287626210871318802e-03,-9.382753995424502128e-03,-2.560728613282569656e-03,9.021874005900026167e-04,-6.765325094328690225e-01
4.620000000000000284e+01,4.000000000000000000e+00,5.968226788137044325e-01,2.871316534385074615e+00,-4.197938999677939265e-01,-1.724632716536799171e-01,1.258665781455271526e-01,-7.610372399869882662e-03,1.149379557757205794e-01,-5.129972530299351657e-02,-5.338702470336330504e-03,-9.364689504640085621e-03,-2.546822812914114297e-03,9.042431910327729293e-04,-6.771380158852527975e-01
4.622000000000000597e+01,4.000000000000000000e+00,5.991203667977004210e-01,2.870288668147430222e+00,-4.214991065623055477e-01,-1.726164860089870468e-01,1.258450556515930963e-01,-7.710625243927820248e-03,1.148306733111168210e-01,-5.148683811294035850e-02,-5.389496151081549745e-03,-9.346585007039861018e-03,-2.532471169741870847e-03,9.061880936388957281e-04,-6.777516898373010523e-01
4.624000000000000199e+01,4.000000000000000000e+00,6.014158989929517807e-01,2.869257063277043329e+00,-4.232055712376894818e-01,-1.727716789601477787e-01,1.258228267375709752e-01,-7.808222601316041310e-03,1.147223778728195392e-01,-5.167358845134342044e-02,-5.439998362271851982e-03,-9.328442719626132279e-03,-2.517676301592849161e-03,9.080221871686531632e-04,-6.783733221425861659e-01
4.626000000000000512e+01,4.000000000000000000e+00,6.037092551988684219e-01,2.868221727030753954e+00,-4.249133036605391989e-01,-1.729287968350803617e-01,1.257998971199563443e-01,-7.903108272041228788e-03,1.146130753786854667e-01,-5.185997558456199169e-02,-5.490200266372565266e-03,-9.310264857626924725e-03,-2.502440920685548506e-03,9.097455702908509995e-04,-6.790026991175138749e-01
4.628000000000000114e+01,4.000000000000000000e+00,6.060004153349817235e-01,2.867182666679634284e+00,-4.266223129959826887e-01,-1.730877848398486019e-01,1.257762726888791149e-01,-7.995226273413430160e-03,1.145027719227735552e-01,-5.204599882323885512e-02,-5.540093081037307347e-03,-9.292053634097793141e-03,-2.486767833629962773e-03,9.113583615828181822e-04,-6.796396025553775866e-01
4.630000000000000426e+01,4.000000000000000000e+00,6.082893594444563901e-01,2.866139889508099170e+00,-4.283326078987272356e-01,-1.732485870631718383e-01,1.257519595066430573e-01,-8.084520856391717511e-03,1.143914737742217913e-01,-5.223165752225292918e-02,-5.589668080995812381e-03,-9.273811259523664571e-03,-2.470659941427576136e-03,9.128606995304083555e-04,-6.802838097416961105e-01
4.632000000000000028e+01,4.000000000000000000e+00,6.105760676975816592e-01,2.865093402813025047e+00,-4.300441965041800207e-01,-1.734111464812665981e-01,1.257269638062240569e-01,-8.170936522683877254e-03,1.142791873760873461e-01,-5.241695108066370123e-02,-5.638916599941744615e-03,-9.255539941420670713e-03,-2.454120239471378230e-03,9.142527425279994282e-04,-6.809350934708759961e-01
4.634000000000000341e+01,4.000000000000000000e+00,6.128605203952364189e-01,2.864043213902864871e+00,-4.317570864196593194e-01,-1.735754049630396922e-01,1.257012919897256553e-01,-8.254418042612834613e-03,1.141659193441478398e-01,-5.260187894164805589e-02,-5.687830032420561517e-03,-9.237241883937954284e-03,-2.437151817545835965e-03,9.155346688784925984e-04,-6.815932220642764161e-01
